ID,Comment
@44fladnag94,“가치는 대주주와 작전과 같이해야 가치가 있다” ㄷㄷ
@Alex_dark_energy,오늘 라이브 앞두고 알포인트 조아연!
@BobKoo_KR,"알상무 입장에서는 가불기임 ㅋㅋㅋㅋㅋ ㅋㅋㅋ
이게 막 그렇게 진지한 주식방송이 아니라서 맞추면 맞추는대로 거들먹거리고, 틀리면 틀리는대로 슈카랑 니니한테 한소리 좀 들으면서 머쓱하게 웃으며 변명하면 그만임 ㅋㅋ
맞추면 신뢰도 상승, 틀려도 분량확보... 이게 주식방송보다는 예능성격이 짙어서 가능한 포지션인데, 평소 헛소리 캐릭터 빌드업 쌓아둔게 있어서 가능한거 ㅋㅋㅋㅋㅋ 
일단 난 맞든 틀리든 재밌게 보고있음. 알상무님 롱런하시길!"
@Coco-f1k,"엥 광고인지도 모르고 본거 첨이네 ㅋㅋ
끝나고 뭘광고한거지 하고 찾아봄ㅋ
자연스레 녹이네"
@INA_88,암흑에너지.. 너무좋아요 .. 중독됐어..
@JandZtravel,여기가 광고비내는 곳인가요? 이번회 역대급. 대황니니 화이팅
@Mals-t2x,알상무랑 술먹으면 얼마나 재미질까
@MegaPunchpunch,니니눈나 너무 이뻐!!!
@OOS_0132,"확실히 요즘 편집본은 나름의 맛이 있어서 좋아..라이브는 날것 그대로의 회같은 느낌이라면, 편집본은 살짝 매콤해진 매운탕정도?"
@Ohleeh,가슴뛰게 만들어주는 알상무님~~ 건강챙기시고 오래 이야기를 해주세요~~
@ScKim-gn6be,주식만 빼고 다 잘하는 알상무 멋져요 ^^
@Shakechicken,"같은 회사 건물에 근무하는 일개미 한명입니다
vlog처음부터 익숙한곳이 나오니까 너무 반갑네요
슈카님이랑 알상무님이랑 가끔 지나가다 뵙는데 쑥스러워서 인사도 못했어요 ㅋㅋㅋ 
댓글로나마 응원합니다 화이팅 너무 재밌어요"
@SkimOnWest,재밌게 보고있습니다 :)
@TheGenesisIMPs,"월, 금 최고의 ‘예능’"
@TheTresnoir,조명 뭐하는거냐곸ㅋㅋㅋㅋㅋ 진짜 고품격 주식방송답닼ㅋㅋㅋㅋㅋㅋ
@Uruck05,편집본은 라이브랑은 다른 맛이 있네요. 정말 재밌어요.
@_____ani,진짜 썸넬가지고 자꾸 낚을꺼야??!!!!! ㅋㅋㅋㅋㅋㅋㅋ 풀방 두세번씩 보는데 편집본도 계속 보게 만드는 마성의 스킬ㅋ기ㅋ
@_dayfeeling,05:10 역시 알상무님도 본인이 귀여운거 알고계시는구나
@actka16,대황니니께서 편집본이 더 재미있다고 해서 기대하며 둘어옴
@anjdudbxnqm,알상무님 덕분에 엔비디아 고점에 익절
@bongchon5,진짜 편집자 잘뽑았다 ㅋㅋ썸네일 뭐야 ㅋㅋㅋㅋ
@bottleneck123,재밌어요 ㅎㅎ 주식은 지금 화이팅
@cheese___cake,미친!! 이런 컨텐츠라니!! 알상무의 팬으로써 너무 환영입니다!!!!
@drimstiller,맞추면 재밌고 틀리면 더 재밌는 요절복통 알포인트
@dusenskskd,벌써 니니가 고려아연 분석할거 생각하니깐 설레여셔 미침
@genehyukkwon7196,어둠의 알상무단원들이어 일어나라...조회수 올리자 !!!
@gts3429,사다코가 좋아하는 랜덤게임!
@hannahlee4768,아 알상무님 너무 귀엽네... 이런 어쩌지 농담 아니라 진짜 덕심생기네 큰일인데
@hedgehog1962,19:06 가치는 대주주하고 작전하고 같이 해야 가치가 되는거야  우리나라에서는 나혼자 가치를 못봐. 아무도 인정하지 않아. 시장이 그런거에요.
@hendrixJ4569,23시간만에 15만회면 피디님들 회의해야 한다.. 브이로그든 뭐든 또 해야 한다..!
@hlee-p6k,지옥같은 증권회사서 커리어 대부분을 보낸 사람이 맞나 싶을 정도로 서윗하고 좋은 분이시신게 느껴지는 알상무횽..슈카형도 그렇고 밤새 대화 나눠 보고싶은 형님들임.
@hollman1231,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 슈사장님이 확실히 투자를 하긴 했네 썸넬 퀄부터 달라 
역시 자네야"
@jasmine-1771,26:59 적지만 광고비대신 놓고가요! 주식은 지금 화이팅 개미는 더이상 개돼지가 아니다!!!
